date,time,Thread,Level,Component,Content
03/10,03:11:12.010,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,ns1__srmPutDone : Request: Put done. IP: 2001:1458:201:e3::100:1c. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. surl(s): srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatatape/data17_13TeV/DRAW_RPVLL/r11782/data17_13TeV.00334842.physics_Main.recon.DRAW_RPVLL.r11782_tid20624485_00/DRAW_RPVLL.20624485._000973.pool.root.1_1583796249. token: c3d6658e-e06a-4382-bc4a-34a09a9a8268 
03/10,03:11:12.038,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,Result for request 'Put done' is 'SRM_SUCCESS' 
03/10,03:11:12.049,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,ns1__srmLs : Request: Ls. IP: 2001:1458:201:e3::100:1c. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:12.067,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:12.078,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,ns1__srmRm : Request: Rm. IP: 2001:1458:201:e3::100:1c. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. surl(s): srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatatape/data17_13TeV/DRAW_RPVLL/r11782/data17_13TeV.00334842.physics_Main.recon.DRAW_RPVLL.r11782_tid20624485_00/DRAW_RPVLL.20624485._000973.pool.root.1_1583796249 
03/10,03:11:12.096,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,Result for request 'Rm' is 'SRM_SUCCESS' 
03/10,03:11:12.311,Thread 50,INFO ,41d9a1e0-52b2-4689-a9af-38a7b79ca34f,process_request : Connection from IP 
03/10,03:11:12.318,Thread 29,INFO ,87b65ca3-a8cf-48fb-8131-15e279edb408,process_request : Connection from IP 
03/10,03:11:12.400,Thread 29,INFO ,87b65ca3-a8cf-48fb-8131-15e279edb408,Request 'BOL status' from Client IP='2001:1458:d00:14::162' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token 'a49cd505-e8bf-4011-a180-86f924b97f5a' on '3' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000358.pool.root.1 srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000480.pool.root.1 srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r1021 TRUNCATED 
03/10,03:11:12.406,Thread 50,INFO ,41d9a1e0-52b2-4689-a9af-38a7b79ca34f,Request 'BOL status' from Client IP='2001:1458:d00:14::162' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token 'd8b62a1c-ac04-40cc-ac7d-375b23d4a9e7' on '2' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000494.pool.root.1 srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000536.pool.root.1' 
03/10,03:11:12.409,Thread 29,INFO ,87b65ca3-a8cf-48fb-8131-15e279edb408,Result for request 'BOL status' is 'SRM_REQUEST_INPROGRESS' 
03/10,03:11:12.412,Thread 50,INFO ,41d9a1e0-52b2-4689-a9af-38a7b79ca34f,Result for request 'BOL status' is 'SRM_REQUEST_INPROGRESS' 
03/10,03:11:14.903,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,process_request : Connection from IP 
03/10,03:11:14.971,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,ns1__srmPing : Request: Ping. IP: 2001:1458:d00:14::162. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:14.972,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'Ping' is 'SRM_SUCCESS' 
03/10,03:11:14.994,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,ns1__srmRm : Request: Rm. IP: 2001:1458:d00:14::162. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. surl(s): srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/data17_13TeV/57/99/DAOD_RPVLL.20625778._000380.pool.root.1 
03/10,03:11:15.014,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'Rm' is 'SRM_FAILURE' 
03/10,03:11:15.032,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,ns1__srmLs : Request: Ls. IP: 2001:1458:d00:14::162. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:15.047,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:15.065,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,ns1__srmGetSpaceTokens : Request: Get space tokens. IP: 2001:1458:d00:14::162. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. space token description: ATLASDATADISK 
03/10,03:11:15.067,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'Get space tokens' is 'SRM_SUCCESS' 
03/10,03:11:15.085,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Request 'PTP' from Client IP='2001:1458:d00:14::162' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested '1' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/data17_13TeV/57/99/DAOD_RPVLL.20625778._000380.pool.root.1' 
03/10,03:11:15.092,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'PTP' is 'SRM_REQUEST_QUEUED'. # Produced request token: '5c406e00-5b9a-4077-a5bf-2253c3f866d2' 
03/10,03:11:15.610,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Request 'PTP status' from Client IP='2001:1458:d00:14::162' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '5c406e00-5b9a-4077-a5bf-2253c3f866d2' 
03/10,03:11:15.610,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'PTP status' is 'SRM_REQUEST_QUEUED' 
03/10,03:11:16.128,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Request 'PTP status' from Client IP='2001:1458:d00:14::162' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '5c406e00-5b9a-4077-a5bf-2253c3f866d2' 
03/10,03:11:16.129,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'PTP status' is 'SRM_REQUEST_QUEUED' 
03/10,03:11:17.147,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Request 'PTP status' from Client IP='2001:1458:d00:14::162' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '5c406e00-5b9a-4077-a5bf-2253c3f866d2' 
03/10,03:11:17.148,Thread 47,INFO ,5d9ac8be-38f5-44fb-934a-abbf6018072c,Result for request 'PTP status' is 'SRM_SUCCESS' 
03/10,03:11:19.226,Thread 42,INFO ,898737c5-fdb9-4a20-b8cc-a2461ba2d1b0,process_request : Connection from IP 
03/10,03:11:19.306,Thread 42,INFO ,898737c5-fdb9-4a20-b8cc-a2461ba2d1b0,ns1__srmPing : Request: Ping. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:19.307,Thread 42,INFO ,898737c5-fdb9-4a20-b8cc-a2461ba2d1b0,Result for request 'Ping' is 'SRM_SUCCESS' 
03/10,03:11:19.543,Thread 37,INFO ,18cb22f9-215c-4ed1-9370-fa91a5d97994,process_request : Connection from IP 
03/10,03:11:19.622,Thread 37,INFO ,18cb22f9-215c-4ed1-9370-fa91a5d97994,ns1__srmLs : Request: Ls. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:19.640,Thread 37,INFO ,18cb22f9-215c-4ed1-9370-fa91a5d97994,Result for request 'Ls' is 'SRM_FAILURE' 
03/10,03:11:19.706,Thread 24,INFO ,b321acdb-dfdf-4e50-840f-9ee2b34b0987,process_request : Connection from IP 
03/10,03:11:19.786,Thread 24,INFO ,b321acdb-dfdf-4e50-840f-9ee2b34b0987,ns1__srmLs : Request: Ls. IP: 2001:1458:d00:9::100:70. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:19.803,Thread 24,INFO ,b321acdb-dfdf-4e50-840f-9ee2b34b0987,Result for request 'Ls' is 'SRM_FAILURE' 
03/10,03:11:20.238,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,process_request : Connection from IP 
03/10,03:11:20.367,Thread 20,INFO ,2d2da61d-65c4-4129-87d8-4bc3b6cd8096,process_request : Connection from IP 
03/10,03:11:20.434,Thread 20,INFO ,2d2da61d-65c4-4129-87d8-4bc3b6cd8096,ns1__srmPing : Request: Ping. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:20.435,Thread 20,INFO ,2d2da61d-65c4-4129-87d8-4bc3b6cd8096,Result for request 'Ping' is 'SRM_SUCCESS' 
03/10,03:11:20.461,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,ns1__srmLs : Request: Ls. IP: 2620:0:210:1::1d. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:20.481,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:20.542,Thread 62,INFO ,592f7eb3-984a-487c-832c-2e7b35385ec9,process_request : Connection from IP 
03/10,03:11:20.576,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,ns1__srmPing : Request: Ping. IP: 2620:0:210:1::1d. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:20.578,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Result for request 'Ping' is 'SRM_SUCCESS' 
03/10,03:11:20.610,Thread 62,INFO ,592f7eb3-984a-487c-832c-2e7b35385ec9,ns1__srmPing : Request: Ping. IP: 2001:1458:d00:9::100:70. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:20.611,Thread 62,INFO ,592f7eb3-984a-487c-832c-2e7b35385ec9,Result for request 'Ping' is 'SRM_SUCCESS' 
03/10,03:11:20.673,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,ns1__srmLs : Request: Ls. IP: 2620:0:210:1::1d. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:20.688,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:20.783,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Request 'PTG' from Client IP='2620:0:210:1::1d' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested '1' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/tests/d0/36/step14.4112.57014.recon.ESD.93604.85668' 
03/10,03:11:20.792,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Result for request 'PTG' is 'SRM_REQUEST_QUEUED'. # Produced request token: '335b704a-a36f-4003-bfc8-f5c72b1c7ed9' 
03/10,03:11:21.010,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,process_request : Connection from IP 
03/10,03:11:21.064,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,ns1__srmRm : Request: Rm. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. surl(s): srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/mc15_13TeV/c4/57/EVNT.20604349._005527.pool.root.1 
03/10,03:11:21.089,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Result for request 'Rm' is 'SRM_FAILURE' 
03/10,03:11:21.101,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,ns1__srmLs : Request: Ls. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:21.116,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:21.127,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,ns1__srmGetSpaceTokens : Request: Get space tokens. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. space token description: ATLASDATADISK 
03/10,03:11:21.130,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Result for request 'Get space tokens' is 'SRM_SUCCESS' 
03/10,03:11:21.142,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Request 'PTP' from Client IP='2001:1458:201:e3::100:dd' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested '1' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/mc15_13TeV/c4/57/EVNT.20604349._005527.pool.root.1' 
03/10,03:11:21.152,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Result for request 'PTP' is 'SRM_REQUEST_QUEUED'. # Produced request token: '5801e4e0-7780-49aa-8c2d-3e370426b360' 
03/10,03:11:21.388,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Request 'PTG status' from Client IP='2620:0:210:1::1d' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '335b704a-a36f-4003-bfc8-f5c72b1c7ed9' 
03/10,03:11:21.389,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Result for request 'PTG status' is 'SRM_REQUEST_QUEUED' 
03/10,03:11:21.662,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,process_request : Connection from IP 
03/10,03:11:21.664,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Request 'PTP status' from Client IP='2001:1458:201:e3::100:dd' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '5801e4e0-7780-49aa-8c2d-3e370426b360' 
03/10,03:11:21.665,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Result for request 'PTP status' is 'SRM_REQUEST_QUEUED' 
03/10,03:11:21.731,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,ns1__srmRm : Request: Rm. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. surl(s): srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/mc15_13TeV/7e/40/EVNT.20604292._011891.pool.root.1 
03/10,03:11:21.752,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,Result for request 'Rm' is 'SRM_FAILURE' 
03/10,03:11:21.770,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,ns1__srmLs : Request: Ls. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:21.788,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:21.807,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,ns1__srmGetSpaceTokens : Request: Get space tokens. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. space token description: ATLASDATADISK 
03/10,03:11:21.809,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,Result for request 'Get space tokens' is 'SRM_SUCCESS' 
03/10,03:11:21.827,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,Request 'PTP' from Client IP='2001:1458:201:e3::100:dd' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested '1' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/mc15_13TeV/7e/40/EVNT.20604292._011891.pool.root.1' 
03/10,03:11:21.834,Thread 28,INFO ,9c564980-497c-4147-af8c-e20bda1b6364,Result for request 'PTP' is 'SRM_REQUEST_QUEUED'. # Produced request token: '9467ae4d-83d1-422c-87f8-5c7ce60489ee' 
03/10,03:11:21.940,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,process_request : Connection from IP 
03/10,03:11:21.984,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Request 'PTG status' from Client IP='2620:0:210:1::1d' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '335b704a-a36f-4003-bfc8-f5c72b1c7ed9' 
03/10,03:11:21.985,Thread 15,INFO ,85a88efa-ee6c-4b23-a33f-8ae56b58e030,Result for request 'PTG status' is 'SRM_REQUEST_QUEUED' 
03/10,03:11:22.009,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,ns1__srmLs : Request: Ls. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:22.028,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:22.046,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,ns1__srmGetSpaceTokens : Request: Get space tokens. IP: 2001:1458:201:e3::100:dd. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. space token description: ATLASDATATAPE 
03/10,03:11:22.048,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,Result for request 'Get space tokens' is 'SRM_SUCCESS' 
03/10,03:11:22.065,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,Request 'PTP' from Client IP='2001:1458:201:e3::100:dd' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested '1' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatatape/data17_13TeV/DRAW_RPVLL/r11782/data17_13TeV.00334842.physics_Main.recon.DRAW_RPVLL.r11782_tid20624485_00/DRAW_RPVLL.20624485._001678.pool.root.1_1583796310' 
03/10,03:11:22.073,Thread 52,INFO ,20934744-e913-4874-b49e-cdaf287c1efa,Result for request 'PTP' is 'SRM_REQUEST_QUEUED'. # Produced request token: '0beecf80-62c4-4e95-9858-2cf3e8d9ecea' 
03/10,03:11:22.171,Thread 2,INFO ,b891b36a-01ae-4c28-b11f-257aaf04f6e8,process_request : Connection from IP 
03/10,03:11:22.177,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Request 'PTP status' from Client IP='2001:1458:201:e3::100:dd' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '5801e4e0-7780-49aa-8c2d-3e370426b360' 
03/10,03:11:22.177,Thread 4,INFO ,84d57cd0-534a-4182-b583-954bcf8c04b3,Result for request 'PTP status' is 'SRM_REQUEST_QUEUED' 
03/10,03:11:22.240,Thread 2,INFO ,b891b36a-01ae-4c28-b11f-257aaf04f6e8,ns1__srmLs : Request: Ls. IP: 2001:1458:d00:9::100:70. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management 
03/10,03:11:22.255,Thread 2,INFO ,b891b36a-01ae-4c28-b11f-257aaf04f6e8,Result for request 'Ls' is 'SRM_SUCCESS' 
03/10,03:11:22.273,Thread 2,INFO ,b891b36a-01ae-4c28-b11f-257aaf04f6e8,ns1__srmGetSpaceTokens : Request: Get space tokens. IP: 2001:1458:d00:9::100:70. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. space token description: ATLASDATATAPE 
03/10,03:11:22.275,Thread 2,INFO ,b891b36a-01ae-4c28-b11f-257aaf04f6e8,Result for request 'Get space tokens' is 'SRM_SUCCESS' 
